	encoder	sensor
321	0.0969522	0
322	0.0971437	0
323	0.0973359	0
324	0.0975281	0
325	0.0977206	0
326	0.0979141	0
327	0.0981066	0
328	0.0982988	0
329	0.0984913	0
330	0.0986828	0
331	0.098875	0
332	0.0990666	0
333	0.0992584	0
334	0.0994506	0
335	0.0996425	0
336	0.0998353	0
337	0.100028	0
338	0.100219	0
339	0.100411	0
340	0.100602	0
341	0.100793	0
342	0.100985	0
343	0.101177	0
344	0.101368	0
345	0.10156	0
346	0.101752	0
347	0.101944	0
348	0.102136	0
349	0.102328	0
350	0.102519	0
351	0.102711	0
352	0.102904	0
353	0.103096	0
354	0.103289	0
355	0.103482	0
356	0.103674	0
357	0.103867	0
358	0.104058	0
359	0.10425	0
360	0.104442	0
361	0.104633	0
362	0.104826	0
363	0.105019	0
364	0.105211	0
365	0.105403	0
366	0.105595	0
367	0.105786	0
368	0.105977	0
369	0.106168	0
370	0.10636	0
371	0.106552	0
372	0.106743	0
373	0.106934	0
374	0.107126	0
375	0.107318	0
376	0.107511	0
377	0.107703	0
378	0.107897	0
379	0.108089	0
380	0.108281	0
381	0.108473	0
382	0.108665	0
383	0.108858	0
384	0.10905	0
385	0.109243	0
386	0.109435	0
387	0.109627	0
388	0.109819	0
389	0.11001	0
390	0.110202	0
391	0.110393	0
392	0.110584	0
393	0.110775	0
394	0.110966	0
395	0.111158	0
396	0.11135	0
397	0.111542	0
398	0.111734	0
399	0.111926	0
400	0.112117	0
401	0.112309	0
402	0.112502	0
403	0.112693	0
404	0.112887	0
405	0.113079	0
406	0.113272	0
407	0.113465	0
408	0.113657	0
409	0.11385	0
410	0.114041	0
411	0.114233	0
412	0.114424	0
413	0.114616	0
414	0.114809	0
415	0.115001	0
416	0.115193	0
417	0.115385	0
418	0.115576	0
419	0.115766	0
420	0.115957	0
421	0.116149	0
422	0.116341	0
423	0.116533	0
424	0.116725	0
425	0.116917	0
426	0.117108	0
427	0.117301	0
428	0.117493	0
429	0.117686	0
430	0.117878	0
431	0.118071	0
432	0.118263	0
433	0.118456	0
434	0.118648	0
435	0.11884	0
436	0.119032	0
437	0.119224	0
438	0.119416	0
439	0.119607	0
440	0.1198	0
441	0.119992	0
442	0.120184	0
443	0.120375	0
444	0.120567	0
445	0.120757	0
446	0.120948	0
447	0.12114	0
448	0.121332	0
449	0.121524	0
450	0.121716	0
451	0.121908	0
452	0.1221	0
453	0.122292	0
454	0.122484	0
455	0.122676	0
456	0.122869	0
457	0.123061	0
458	0.123253	0
459	0.123446	0
460	0.123638	0
461	0.123831	0
462	0.124023	0
463	0.124214	0
464	0.124406	0
465	0.124597	0
466	0.12479	0
467	0.124982	0
468	0.125174	0
469	0.125366	0
470	0.125557	0
471	0.125748	0
472	0.125939	0
473	0.126131	0
474	0.126323	0
475	0.126515	0
476	0.126707	0
477	0.126899	0
478	0.12709	0
479	0.127282	0
480	0.127475	0
481	0.127667	0
482	0.12786	0
483	0.128053	0
484	0.128245	0
485	0.128438	0
486	0.12863	0
487	0.128823	0
488	0.129014	0
489	0.129206	0
490	0.129397	0
491	0.129589	0
492	0.129781	0
493	0.129974	0
494	0.130166	0
495	0.130358	0
496	0.130549	0
497	0.13074	0
498	0.130931	0
499	0.131122	0
500	0.131314	0
501	0.131506	0
502	0.131698	0
503	0.131891	0
504	0.132083	0
505	0.132275	0
506	0.132467	0
507	0.132659	0
508	0.132852	0
509	0.133044	0
510	0.133236	0
511	0.133429	0
512	0.133622	0
513	0.133814	0
514	0.134007	0
515	0.134198	0
516	0.13439	0
517	0.134582	0
518	0.134773	0
519	0.134965	0
520	0.135157	0
521	0.135348	0
522	0.13554	0
523	0.135731	0
524	0.135922	0
525	0.136113	0
526	0.136305	0
527	0.136497	0
528	0.136688	0
529	0.13688	0
530	0.137072	0
531	0.137264	0
532	0.137457	0
533	0.137649	0
534	0.137842	0
535	0.138035	0
536	0.138227	0
537	0.138419	0
538	0.138611	0
539	0.138804	0
540	0.138995	0
541	0.139187	0
542	0.139379	0
543	0.139571	0
544	0.139763	0
545	0.139956	0
546	0.140148	0
547	0.14034	0
548	0.140531	0
549	0.140722	0
550	0.140913	0
551	0.141104	0
552	0.141296	0
553	0.141489	0
554	0.141681	0
555	0.141873	0
556	0.142064	0
557	0.142257	0
558	0.142448	0
559	0.142641	0
560	0.142833	0
561	0.143026	0
562	0.143219	0
563	0.143411	0
564	0.143603	0
565	0.143796	0
566	0.143988	0
567	0.144179	0
568	0.144371	0
569	0.144562	0
570	0.144754	0
571	0.144946	0
572	0.145138	0
573	0.145329	0
574	0.145521	0
575	0.145712	0
576	0.145903	0
577	0.146096	0
578	0.146288	0
579	0.14648	0
580	0.146673	0
581	0.146865	0
582	0.147056	0
583	0.147248	0
584	0.14744	0
585	0.147632	0
586	0.147825	0
587	0.148017	0
588	0.148209	0
589	0.148402	0
590	0.148595	0
591	0.148787	0
592	0.148979	0
593	0.149171	0
594	0.149363	0
595	0.149554	0
596	0.149746	0
597	0.149938	0
598	0.15013	0
599	0.150322	0
600	0.150513	0
601	0.150703	0
602	0.150894	0
603	0.151086	0
604	0.151278	0
605	0.15147	0
606	0.151662	0
607	0.151855	0
608	0.152047	0
609	0.152238	0
610	0.152431	0
611	0.152623	0
612	0.152816	0
613	0.153008	0
614	0.153201	0
615	0.153394	0
616	0.153587	0
617	0.153779	0
618	0.153971	0
619	0.154162	0
620	0.154354	0
621	0.154546	0
622	0.154737	0
623	0.154929	0
624	0.155121	0
625	0.155312	0
626	0.155503	0
627	0.155694	0
628	0.155885	0
629	0.156078	0
630	0.15627	0
631	0.156463	0
632	0.156655	0
633	0.156847	0
634	0.157038	0
635	0.15723	0
636	0.157422	0
637	0.157614	0
638	0.157807	0
639	0.158	0
640	0.158192	0
641	0.158384	0
642	0.158577	0
643	0.158769	0
644	0.158961	0
645	0.159152	0
646	0.159344	0
647	0.159536	0
648	0.159728	0
649	0.15992	0
650	0.160111	0
651	0.160303	0
652	0.160494	0
653	0.160685	0
654	0.160876	0
655	0.161068	0
656	0.16126	0
657	0.161451	0
658	0.161643	0
659	0.161836	0
660	0.162027	0
661	0.16222	0
662	0.162413	0
663	0.162606	0
664	0.162798	0
665	0.162991	0
666	0.163184	0
667	0.163375	0
668	0.163568	0
669	0.16376	0
670	0.163952	0
671	0.164143	0
672	0.164335	0
673	0.164527	0
674	0.164718	0
675	0.16491	0
676	0.165102	0
677	0.165295	0
678	0.165487	0
679	0.165678	0
680	0.16587	0
681	0.166061	0
682	0.166253	0
683	0.166445	0
684	0.166637	0
685	0.166829	0
686	0.167021	0
687	0.167213	0
688	0.167405	0
689	0.167597	0
690	0.167789	0
691	0.167982	0
692	0.168174	0
693	0.168366	0
694	0.168558	0
695	0.168751	0
696	0.168942	0
697	0.169134	0
698	0.169326	0
699	0.169518	0
700	0.16971	0
701	0.169903	0
702	0.170095	0
703	0.170286	0
704	0.170477	0
705	0.170668	0
706	0.170858	0
707	0.17105	0
708	0.171242	0
709	0.171433	0
710	0.171626	0
711	0.171818	0
712	0.17201	0
713	0.172202	0
714	0.172395	0
715	0.172587	0
716	0.17278	0
717	0.172973	0
718	0.173165	0
719	0.173358	0
720	0.173551	0
721	0.173743	0
722	0.173935	0
723	0.174126	0
724	0.174317	0
725	0.174509	0
726	0.174701	0
727	0.174893	0
728	0.175085	0
729	0.175277	0
730	0.175468	0
731	0.175659	0
732	0.17585	0
733	0.176042	0
734	0.176234	0
735	0.176426	0
736	0.176618	0
737	0.17681	0
738	0.177001	0
739	0.177193	0
740	0.177385	0
741	0.177577	0
742	0.177769	0
743	0.177962	0
744	0.178154	0
745	0.178346	0
746	0.178539	0
747	0.178731	0
748	0.178924	0
749	0.179116	0
750	0.179309	0
751	0.179502	0
752	0.179694	0
753	0.179887	0
754	0.180078	0
755	0.180269	0
756	0.18046	0
757	0.180651	0
758	0.180841	0
759	0.181033	0
760	0.181225	0
761	0.181417	0
762	0.181608	0
763	0.181801	0
764	0.181993	0
765	0.182186	0
766	0.182378	0
767	0.18257	0
768	0.182762	0
769	0.182955	0
770	0.183148	0
771	0.18334	0
772	0.183533	0
773	0.183725	0
774	0.183917	0
775	0.184108	0
776	0.1843	0
777	0.184492	0
778	0.184683	0
779	0.184876	0
780	0.185068	0
781	0.185259	0
782	0.185451	0
783	0.185642	0
784	0.185832	0
785	0.186024	0
786	0.186216	0
787	0.186408	0
788	0.1866	0
789	0.186792	0
790	0.186983	0
791	0.187176	0
792	0.187368	0
793	0.18756	0
794	0.187753	0
795	0.187946	0
796	0.188138	0
797	0.18833	0
798	0.188523	0
799	0.188715	0
800	0.188908	0
801	0.1891	0
802	0.189292	0
803	0.189484	0
804	0.189676	0
805	0.189868	0
806	0.19006	0
807	0.190251	0
808	0.190442	0
809	0.190633	0
810	0.190823	0
811	0.191015	0
812	0.191207	0
813	0.191398	0
814	0.19159	0
815	0.191783	0
816	0.191975	0
817	0.192167	0
818	0.19236	0
819	0.192552	0
820	0.192744	0
821	0.192937	0
822	0.19313	0
823	0.193322	0
824	0.193515	0
825	0.193707	0
826	0.193899	0
827	0.19409	0
828	0.194282	0
829	0.194473	0
830	0.194665	0
831	0.194858	0
832	0.19505	0
833	0.195241	0
834	0.195432	0
835	0.195623	0
836	0.195813	0
837	0.196005	0
838	0.196197	0
839	0.196389	0
840	0.196581	0
841	0.196773	0
842	0.196965	0
843	0.197157	0
844	0.197349	0
845	0.197542	0
846	0.197734	0
847	0.197928	0
848	0.19812	0
849	0.198313	0
850	0.198506	0
851	0.198698	0
852	0.19889	0
853	0.199082	0
854	0.199274	0
855	0.199466	0
856	0.199657	0
857	0.199849	0
858	0.200041	0
859	0.200232	0
860	0.200423	0
861	0.200615	0
862	0.200805	0
863	0.200997	0
864	0.201188	0
865	0.20138	0
866	0.201572	0
867	0.201764	0
868	0.201957	0
869	0.202149	0
870	0.202342	0
871	0.202534	0
872	0.202726	0
873	0.202919	0
874	0.203111	0
875	0.203303	0
876	0.203496	0
877	0.203688	0
878	0.203881	0
879	0.204072	0
880	0.204264	0
881	0.204456	0
