	encoder	sensor
1	0.0446447	0
2	0.0446447	0
3	0.0446447	0
4	0.0446447	0
5	0.0446447	0
6	0.0446447	0
7	0.0446447	0
8	0.044645	0
9	0.044645	0
10	0.044645	0
11	0.0446453	0
12	0.0446462	0
13	0.0446481	0
14	0.0446516	0
15	0.0446566	0
16	0.0446634	0
17	0.0446719	0
18	0.0446822	0
19	0.0446937	0
20	0.0447072	0
21	0.0447219	0
22	0.0447381	0
23	0.044755	0
24	0.0447738	0
25	0.0447938	0
26	0.0448163	0
27	0.0448409	0
28	0.0448675	0
29	0.0448956	0
30	0.044925	0
31	0.0449553	0
32	0.0449869	0
33	0.0450203	0
34	0.0450569	0
35	0.0450962	0
36	0.0451381	0
37	0.0451825	0
38	0.0452291	0
39	0.0452788	0
40	0.0453306	0
41	0.0453844	0
42	0.0454394	0
43	0.0454966	0
44	0.0455559	0
45	0.0456169	0
46	0.0456806	0
47	0.0457478	0
48	0.0458181	0
49	0.0458913	0
50	0.0459675	0
51	0.0460453	0
52	0.0461253	0
53	0.0462078	0
54	0.0462919	0
55	0.0463781	0
56	0.0464672	0
57	0.0465591	0
58	0.0466538	0
59	0.0467506	0
60	0.0468497	0
61	0.0469506	0
62	0.0470538	0
63	0.04716	0
64	0.0472687	0
65	0.0473797	0
66	0.0474925	0
67	0.0476072	0
68	0.0477238	0
69	0.0478438	0
70	0.0479662	0
71	0.0480906	0
72	0.0482175	0
73	0.0483466	0
74	0.0484794	0
75	0.0486137	0
76	0.0487506	0
77	0.04889	0
78	0.0490313	0
79	0.0491753	0
80	0.0493222	0
81	0.0494709	0
82	0.0496219	0
83	0.0497762	0
84	0.0499325	0
85	0.0500906	0
86	0.0502512	0
87	0.0504141	0
88	0.0505797	0
89	0.0507469	0
90	0.0509172	0
91	0.05109	0
92	0.051265	0
93	0.0514419	0
94	0.0516213	0
95	0.0518034	0
96	0.0519875	0
97	0.0521744	0
98	0.0523637	0
99	0.0525553	0
100	0.0527494	0
101	0.0529456	0
102	0.0531434	0
103	0.0533428	0
104	0.053545	0
105	0.0537487	0
106	0.0539541	0
107	0.0541606	0
108	0.0543687	0
109	0.0545781	0
110	0.0547891	0
111	0.0550006	0
112	0.0552141	0
113	0.0554281	0
114	0.0556431	0
115	0.0558591	0
116	0.0560759	0
117	0.0562937	0
118	0.0565122	0
119	0.0567316	0
120	0.0569519	0
121	0.0571731	0
122	0.057395	0
123	0.0576178	0
124	0.0578412	0
125	0.058065	0
126	0.0582891	0
127	0.0585144	0
128	0.0587394	0
129	0.0589647	0
130	0.05919	0
131	0.0594153	0
132	0.0596406	0
133	0.0598666	0
134	0.0600916	0
135	0.0603169	0
136	0.0605416	0
137	0.0607659	0
138	0.0609903	0
139	0.0612144	0
140	0.0614384	0
141	0.0616622	0
142	0.0618863	0
143	0.0621103	0
144	0.0623347	0
145	0.0625594	0
146	0.0627837	0
147	0.0630081	0
148	0.0632325	0
149	0.0634575	0
150	0.0636822	0
151	0.0639075	0
152	0.0641325	0
153	0.0643575	0
